id,structure,theme,field_pain,hypothesis,reproducible,cross_industry,cta,score_save,score_reply,verdict
P01,問題ラベル型,予約,レッスン中に予約電話が取れず取りこぼす,電話依存の予約は新規を取りこぼす,no,ジム/道場/ピラティス/治療院,型③へ,,,
P02,問題ラベル型,LINE,LINE手作業の返信で1日が終わる,連絡の属人化がオーナーの時間を最も削る,no,全業種,テンプレ配布,,,
P03,問題ラベル型,LTV,入会者が3ヶ月で離脱する,離脱は実力差より次回予約の有無で決まる,no,ジム/ピラティス/治療院,型②へ,,,
P04,問題ラベル型,予約,台帳分散でダブルブッキングが起きる,台帳の分散がミスを生む,no,全業種,型③へ,,,
P05,問題ラベル型,予約,無断キャンセルで枠と準備が無駄になる,リマインドの有無で無断率が変わる,no,全業種,型③へ,,,
P06,問題ラベル型,見た目,身なりで単価の通りやすさが変わる,見た目は単価の通りやすさに効く,no,対人サービス全般,型②へ,,,
P07,問題ラベル型,見た目,足元のくたびれで安く見られる,足元の清潔感が価格の納得感を底上げ,no,対人サービス全般,保存,,,
P08,問題ラベル型,Web設計,Webはあるのに予約されない,離脱は予約導線の段差で起きる,no,全業種,型②へ,,,
P09,問題ラベル型,単価,なんとなくで値付けし値上げできない,時間あたり利益の不可視化が値上げを止める,no,全業種,型③へ,,,
P10,構造分解型,LINE,LINE対応で1日が終わる理由,窓口一元化と手打ちが時間を奪う,yes,全業種,テンプレ配布,,,
P11,構造分解型,LTV,離脱が起きる順番が見えない,離脱は来店間隔の伸びで予兆を出す,yes,ジム/ピラティス/治療院,型③へ,,,
P12,構造分解型,単価,単価が上がらない,時間売りモデルが単価の天井を作る,no,全業種,note,,,
P13,構造分解型,見た目,見た目が単価に効く仕組み,見た目は品質の代理指標として価格に効く,no,対人サービス全般,型①へ,,,
P14,構造分解型,Web設計,Web予約の離脱地点が不明,予約完了までのタップ数が転換率を決める,yes,全業種,型③へ,,,
P15,構造分解型,ギフト,紹介がたまたまになる,紹介は瞬間×手段×返礼で起きる,yes,全業種,型③へ,,,
P16,構造分解型,予約対応時間,予約対応の時間が読めない,受付時間と予約したい時間のズレが工数を生む,no,全業種,型④へ,,,
P17,再現性型,予約,無断キャンセルを減らしたい,リマインド定型化で無断は減らせる,yes,全業種,テンプレ配布,,,
P18,再現性型,LINE,LINEの同じ質問に毎回手打ち,上位5質問のテンプレ化で工数が減る,yes,全業種,テンプレ配布,,,
P19,再現性型,LTV,次回予約が空白で離脱する,その場の次回予約化が継続率を上げる,yes,ジム/ピラティス/治療院,note,,,
P20,再現性型,単価,値付けの根拠がない,時間あたり利益の可視化で判断できる,yes,全業種,note,,,
P21,再現性型,Web設計,予約導線の段差が見えない,導線の段差除去が予約数に直結,yes,全業種,型②へ,,,
P22,再現性型,ギフト,紹介を設計できない,渡せる物の用意で紹介は再現可能,yes,全業種,テンプレ配布,,,
P23,再現性型,予約対応時間,営業時間外の予約を取りこぼす,常時受付の一本化で取りこぼしと工数が減る,yes,全業種,型④へ,,,
P24,再現性型,見た目,見た目で損したくない,減点除去だけで価格の納得感は維持できる,yes,対人サービス全般,保存,,,
P25,業界横断型,予約,予約電話を施術/稽古中に逃す,予約課題は業種非依存で横展開できる,no,ジム/道場/治療院,型③へ,,,
P26,業界横断型,LINE,LINE対応がどの現場も大変,連絡の属人化はどの予約制業種でも起きる,no,全業種,テンプレ配布,,,
P27,業界横断型,LTV,継続してもらえないと終わる,継続課題は予約制ビジネス全体の共通項,no,全業種,型②へ,,,
P28,業界横断型,回数券,回数券/月謝の管理が紙と記憶,前売り管理の属人化は横断的課題,no,全業種,SaaS,,,
P29,業界横断型,ポジション,業種で分けると横展開できない,構造で括ると横展開が成立する,no,全業種,プロフ/note,,,
P30,業界横断型,メディア宣言,現場のめんどくさいが消耗で終わる,違和感→ツール化の物語が指名想起を作る,no,全業種,プロフ/フォロー,,,
